Designator,Footprint,Quantity,Value,LCSC Part #
BMP,PQFN50P200X200X80-10N,1,BMP388,
"C1, C22, C23, C25, C27, C35, C4",0603,7,100n,
"C10, C21",0805,2,2.2 uF,
C11,0603,1,0.1 uF,
C12,0805,1,75pF,
"C13, C15",0805,2,0.1uF,
C14,0805,1,10uF,
"C16, C17",0805,2,22uF,
"C18, C19",0805,2,1uF,
"C2, C28",0805,2,4.7u,
C20,0805,1,2.2uF,
"C24, C26, C8",0805,3,100n,
C29,0805,1,1u,
C3,0805,1,0.1u,
"C30, C31",0603,2,12pF,
C32,0603,1,0.1u,
C33,0805,1,100nF,
C34,0603,1,10u,
"C5, C6",0603,2,15pF,
C7,0805,1,10u,
C9,0603,1,10 nF,
CARD1,TF-SMD_503398-1892,1,MICRO SD,
"D1, D3, D4",D_SOD-323_HandSoldering,3,D_Schottky,
D2,D_SOD-323_HandSoldering,1,D_ST,
"D7, D8",0805,2,LED,
F1,1812,1,2.5A,
"F2, F3, F4, F5",0805,4,750mA,
FB1,0805,1,FerriteBead,
IC1,SOT95P285X140-5N,1,AP2112K-3.3TRG1,
IMU,PQFN50P300X250X97-14N,1,ICM-42688-P,
"J1, J6",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,Screw_Terminal_01x04,
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Screw_Terminal_01x03,
J3,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Screw_Terminal_01x06,
J4,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Screw_Terminal_01x08,
J5,PinHeader_1x06_P1.00mm_Vertical_SMD_Pin1Left,1,SWD,
J7,USB494000A,1,USB_C_Receptacle_USB2.0_16P,
"J8, J9",TestPoint_Pad_2.5x2.5mm,2,Screw_Terminal_01x01,
L1,L_KOHERelec_MDA7030,1,10uH,
LSE1,XTAL_NX3215SA_NDK,1,Crystal,
"R1, R2",0805,2,2.7K,
R10,0805,1,105K,
R11,0805,1,49.9,
"R12, R17, R3",0805,3,100K,
R13,0805,1,13.3K,
R14,0805,1,10k,
"R15, R16",0805,2,5k1,
R18,0805,1,15k,
"R19, R20",0805,2,330,
"R4, R5, R6, R7, R8",0805,5,47K,
R9,0805,1,511K,
SWBOOT,Nidec_Copal_CAS-120A,1,SW_Nidec_CAS-120A1,
SWRESET1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U3,LGA-16_L3.0-W3.0-P0.50-BL_SQ,1,Mag,
U5,SOT-23-6,1,USBLC6-2SC6,
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,TPS54302DDCR,
XTAL1,ECS-80-12_ECS,1,ECS-80-12-30BQ-JES-TR,
