Designator,Mid X,Mid Y,Rotation,Layer
C1,114.915,-96.565,0.0,top
C12,114.95,-97.3,0.0,bottom
C13,105.045,-99.665,270.0,bottom
C14,107.25,-99.67,270.0,bottom
C15,109.25,-103.25,270.0,bottom
C16,108.15,-107.0625,270.0,bottom
C17,110.45,-107.05,270.0,bottom
C18,102.775,-95.25,90.0,bottom
C19,109.3,-95.85,270.0,bottom
C2,103.325,-104.1825,90.0,top
C20,112.15,-86.8,90.0,top
C21,109.15,-100.25,0.0,top
C22,95.69,-94.425,180.0,top
C23,100.75,-99.3325,180.0,top
C24,111.05,-98.25,0.0,top
C25,110.39,-85.7775,90.0,top
C26,101.15,-83.9275,0.0,top
C27,98.24,-85.8775,90.0,top
C28,101.15,-81.9275,0.0,top
C29,95.69,-96.1275,180.0,top
C3,100.0125,-106.7075,0.0,top
C30,95.69,-87.9,180.0,top
C31,95.69,-86.4275,180.0,top
C32,95.69,-92.875,180.0,top
C33,92.65,-96.975,0.0,bottom
C34,126.425,-83.8825,270.0,bottom
C35,126.425,-87.5325,90.0,bottom
C36,117.425,-71.7325,90.0,top
C37,111.45,-72.9825,270.0,top
C4,112.515,-95.1525,90.0,top
C5,95.69,-91.375,0.0,top
C6,95.69,-89.425,0.0,top
C7,95.69,-100.0975,0.0,top
C8,91.895,-100.1025,0.0,top
CARD1,117.755,-86.35,90.0,bottom
D1,96.6,-98.35,270.0,bottom
D2,116.475,-81.575,180.0,top
D3,117.4,-85.8,0.0,top
D4,106.05,-92.8,180.0,bottom
D7,117.05,-106.85,90.0,top
D8,114.7,-106.85,90.0,top
F1,120.225,-96.9,180.0,bottom
F2,101.5375,-77.0675,0.0,bottom
F3,95.38,-80.6,90.0,top
F4,105.39,-77.0375,0.0,bottom
F5,114.05,-99.35,90.0,top
FB1,95.69,-98.0975,0.0,top
IC1,105.9,-95.85,180.0,bottom
J1,90.445,-81.1275,270.0,top
J2,108.24,-72.6575,180.0,bottom
J3,99.88,-72.7175,180.0,bottom
J4,90.15,-82.78,90.0,bottom
J5,113.4,-78.175,270.0,top
J6,108.65,-105.8,0.0,top
J7,123.73,-89.1875,90.0,top
L1,115.15,-104.7,270.0,bottom
LSE1,95.39,-84.4775,180.0,top
R10,105.3,-108.175,180.0,bottom
R11,118.95,-99.85,0.0,bottom
R12,114.95,-99.325,0.0,bottom
R13,112.05,-98.75,270.0,bottom
R14,99.34,-76.4775,180.0,top
R15,118.49,-93.5775,270.0,top
R16,123.84,-80.8775,0.0,top
R17,92.65,-95.0075,180.0,bottom
R18,92.65,-99.0,0.0,bottom
R19,114.05,-103.85,0.0,top
R20,117.0,-102.95,270.0,top
R21,105.35,-76.3325,180.0,top
R22,104.720272,-71.987228,0.0,top
R3,107.175,-81.9825,270.0,bottom
R4,126.0,-92.5,90.0,bottom
R5,119.45,-93.85,180.0,bottom
R6,122.65,-78.5,0.0,bottom
R7,126.15,-77.6,270.0,bottom
R8,118.75,-78.5,180.0,bottom
R9,105.3,-105.925,0.0,bottom
SWBOOT1,98.74,-72.4275,90.0,top
SWRESET1,91.19,-96.35,90.0,top
U2,104.39,-91.8775,270.0,top
U3,100.125,-104.0825,0.0,top
U4,114.815,-94.6,90.0,top
U5,117.59,-89.3975,0.0,top
U6,105.301,-103.05,270.0,bottom
U7,114.524999,-71.6075,0.0,top
XTAL1,91.84,-89.7,0.0,top
